id,label,rail_a_score,rail_b_score
ex0001,1,0.9451467526314508,0.7383825064753043
ex0002,1,0.29899988747994066,0.7559925653043852
ex0003,1,0.8140207901672769,0.644212146622518
ex0004,0,0.33241549649995256,0.1031200276710877
ex0005,0,0.7301336849605086,0.7196236326534338
ex0006,1,0.7629059757803778,0.752559728330315
ex0007,0,0.8376318793532129,0.662695528756471
ex0008,1,0.9385262605248692,0.5128719365410622
ex0009,1,0.7360871704952424,0.7717735912031766
ex0010,0,0.150282432843503,0.2533487113864145
ex0011,0,0.40694742706097364,0.17172452867444368
ex0012,0,0.7380105333094112,0.12876512407752053
ex0013,0,0.06852504971924685,0.3183904130983591
ex0014,0,0.7923301384571859,0.7093221167041136
ex0015,0,0.76599555662211,0.6756130181372093
ex0016,1,0.8010205169682527,0.4179142520787162
ex0017,1,0.3405852587040295,0.5147287968617795
ex0018,1,0.7475905930966333,0.861249354597039
ex0019,1,0.5261294340405263,0.14408399859809015
ex0020,1,0.9724781512695317,0.675293598544687
ex0021,0,0.4629480737312285,0.6363101708845953
ex0022,0,0.7281333007394474,0.5794977792895418
ex0023,1,0.3759583993818076,0.8834034743679324
ex0024,0,0.5117935113514542,0.7436545458324468
ex0025,0,0.08694276251254417,0.47612945630602144
ex0026,0,0.17751077448853425,0.40412994335989655
ex0027,0,0.7921166659941169,0.7309271031879915
ex0028,1,0.47633697636818406,0.5974582482252048
ex0029,1,0.9280288529511527,0.748486015969106
ex0030,0,0.4121053745869031,0.6202795943412719
ex0031,0,0.1817416300182972,0.843044910687008
ex0032,0,0.23131027997584233,0.3591937121309652
ex0033,0,0.2535599571504964,0.3963276601027123
ex0034,0,0.5218027165264296,0.5696814310398137
ex0035,1,0.5289111651236915,0.878078045305736
ex0036,0,0.35938336920112224,0.5297733690951831
ex0037,0,0.4833165569574484,0.8336967121529864
ex0038,0,0.5964567232016356,0.47101014947962855
ex0039,1,0.2564544609776126,0.547107942500837
ex0040,0,0.6395370048778731,0.5435776158499469
ex0041,0,0.6942857234877405,0.6789434971037343
ex0042,1,0.41600563785640365,0.8807306945399038
ex0043,0,0.2667066377440733,0.10732248946222307
ex0044,1,0.5567316827458259,0.4629681786813338
ex0045,1,0.6776717625273592,0.8332718544018298
ex0046,1,0.8803451599274356,0.5662740923927286
ex0047,0,0.38664625647599477,0.18416426283083526
ex0048,0,0.7849585319465755,0.714303720944652
ex0049,0,0.507089389550317,0.7268877890620055
ex0050,1,0.8279932378581932,0.809097873211265
ex0051,0,0.14584428805025382,0.19787637118681844
ex0052,1,0.4903830375607641,0.8453083878710846
ex0053,0,0.3120650590163185,0.25600171778958863
ex0054,0,0.08083991477447684,0.43311115087369745
ex0055,0,0.5577732691581625,0.24336592048563382
ex0056,0,0.7081054441055313,0.42701502111620615
ex0057,1,0.5367256589716694,0.7657476226334115
ex0058,0,0.2843772912098579,0.2324013194211812
ex0059,1,0.6441598420562896,0.7756261701826324
ex0060,1,0.9502583939769366,0.844873408508681
ex0061,1,0.5996650383356985,0.5257850960903965
ex0062,1,0.7675038117851469,0.7413554131447694
ex0063,1,0.3637089828963643,0.642508477002024
ex0064,0,0.6633755255377991,0.7174729481088709
ex0065,0,0.37339043657351956,0.4269557376493408
ex0066,0,0.19473019260414295,0.44841054256831475
ex0067,0,0.5229280227900452,0.7861432920322152
ex0068,0,0.5928300523831457,0.8582205795052815
ex0069,1,0.5083315255748544,0.9598314885739015
ex0070,0,0.17264326626436458,0.4441932957497852
ex0071,1,0.7724886312345021,0.8372993836950668
ex0072,0,0.11719840414622522,0.7309833319641705
ex0073,1,0.8150393364941323,0.6851980875517918
ex0074,1,0.5956763362715533,0.49514024869526235
ex0075,0,0.1612757138308731,0.39186594613525755
ex0076,1,0.9520603523701376,0.8942346139880052
ex0077,1,0.8125659616019246,0.6779182312858143
ex0078,1,0.7872237656185953,0.29298378769416056
ex0079,1,0.6832655037400361,0.461922213849827
ex0080,0,0.2794754036158729,0.6951850575189332
ex0081,0,0.024966402373931683,0.13516160913573708
ex0082,1,0.9621842907674018,0.7158198323740054
ex0083,1,0.69779085491361,0.7589248720978782
ex0084,0,0.5749766970905474,0.6579320298745485
ex0085,1,0.6023192438937498,0.5430952402497188
